epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,67.3901,1.8265,0.0628,0.71014,2.61985,0.000332219,0.000332219,0.0671104
2,133.658,1.29767,0.1401,0.83575,2.53539,0.000658963,0.000658963,0.0341038
3,198.819,1.06779,0.16908,0.8744,2.51796,0.000979107,0.000979107,0.00109059
4,263.754,0.96245,0.16425,0.86473,2.54795,0.0009703,0.0009703,0.0009703
5,328.804,0.84301,0.15942,0.83092,3.05701,0.0009604,0.0009604,0.0009604
6,393.269,0.77785,0.16908,0.88889,3.06142,0.0009505,0.0009505,0.0009505
7,458.162,0.7098,0.2029,0.85507,3.11786,0.0009406,0.0009406,0.0009406
8,523.374,0.63645,0.28502,0.8599,2.68739,0.0009307,0.0009307,0.0009307
9,588.42,0.59832,0.21256,0.89855,2.69242,0.0009208,0.0009208,0.0009208
10,653.926,0.56591,0.2657,0.86473,2.97578,0.0009109,0.0009109,0.0009109
11,719.654,0.5229,0.26087,0.8599,2.9026,0.000901,0.000901,0.000901
12,785.081,0.50184,0.28986,0.88889,2.96723,0.0008911,0.0008911,0.0008911
13,850.319,0.52071,0.2029,0.86473,3.1644,0.0008812,0.0008812,0.0008812
14,915.223,0.4885,0.24638,0.87923,3.18083,0.0008713,0.0008713,0.0008713
15,980.363,0.43188,0.2657,0.86473,3.34012,0.0008614,0.0008614,0.0008614
16,1045.76,0.44523,0.25604,0.86473,3.44871,0.0008515,0.0008515,0.0008515
17,1111.54,0.42407,0.27053,0.86473,3.07073,0.0008416,0.0008416,0.0008416
18,1176.71,0.41228,0.2657,0.8744,3.5447,0.0008317,0.0008317,0.0008317
19,1242.19,0.40087,0.33816,0.85507,3.28741,0.0008218,0.0008218,0.0008218
20,1307.62,0.36941,0.26087,0.8599,3.29301,0.0008119,0.0008119,0.0008119
21,1373.46,0.35218,0.27053,0.86957,3.35808,0.000802,0.000802,0.000802
22,1438.94,0.33842,0.29469,0.88406,3.16384,0.0007921,0.0007921,0.0007921
23,1504.26,0.34788,0.27053,0.8599,3.22295,0.0007822,0.0007822,0.0007822
24,1569.67,0.34888,0.26087,0.86473,3.641,0.0007723,0.0007723,0.0007723
25,1634.95,0.32131,0.28986,0.85024,3.59695,0.0007624,0.0007624,0.0007624
26,1700.34,0.30285,0.30435,0.85507,3.64875,0.0007525,0.0007525,0.0007525
27,1766.83,0.30922,0.30918,0.86957,3.42205,0.0007426,0.0007426,0.0007426
28,1831.89,0.2846,0.28019,0.85507,3.91742,0.0007327,0.0007327,0.0007327
29,1897.34,0.30537,0.28019,0.86957,3.84367,0.0007228,0.0007228,0.0007228
30,1962.31,0.30088,0.33816,0.8744,3.35151,0.0007129,0.0007129,0.0007129
31,2027.7,0.26844,0.29952,0.86957,3.76265,0.000703,0.000703,0.000703
32,2092.77,0.26449,0.3285,0.86957,3.55889,0.0006931,0.0006931,0.0006931
33,2158.34,0.26351,0.31884,0.88406,3.54994,0.0006832,0.0006832,0.0006832
34,2223.07,0.24901,0.343,0.8744,3.93641,0.0006733,0.0006733,0.0006733
