epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,17.1204,1.20255,0.56436,1,1.04555,0.000192,0.000192,0.080992
2,20.9027,1.09919,0.55446,1,1.10621,0.000388119,0.000388119,0.0611881
3,25.3861,1.05661,0.5396,1,1.09928,0.000580278,0.000580278,0.0413803
4,29.4821,1.0282,0.56931,1,1.12695,0.000768478,0.000768478,0.0215685
5,34.2217,0.99217,0.49505,1,1.14145,0.000952717,0.000952717,0.00175272
6,41.0062,1.02829,0.56436,1,1.11071,0.0009505,0.0009505,0.0009505
7,47.6623,0.98594,0.5,1,1.02202,0.0009406,0.0009406,0.0009406
8,54.1756,0.93479,0.55941,1,0.9672,0.0009307,0.0009307,0.0009307
9,60.7753,0.90968,0.50495,1,1.15977,0.0009208,0.0009208,0.0009208
10,67.2188,0.92015,0.5198,1,1.16047,0.0009109,0.0009109,0.0009109
11,73.7548,0.89495,0.4505,1,1.13628,0.000901,0.000901,0.000901
12,80.1513,0.8924,0.55446,1,1.22989,0.0008911,0.0008911,0.0008911
13,86.0446,0.8854,0.51485,1,1.15381,0.0008812,0.0008812,0.0008812
14,90.0862,0.82901,0.5396,1,1.17952,0.0008713,0.0008713,0.0008713
15,94.2614,0.83871,0.4802,1,1.30025,0.0008614,0.0008614,0.0008614
16,98.1158,0.81499,0.53465,1,1.1498,0.0008515,0.0008515,0.0008515
17,102.114,0.75114,0.4802,1,1.17036,0.0008416,0.0008416,0.0008416
18,106.392,0.76282,0.49505,1,1.2335,0.0008317,0.0008317,0.0008317
19,110.628,0.73412,0.52475,1,1.29073,0.0008218,0.0008218,0.0008218
20,114.541,0.70877,0.47525,1,1.40865,0.0008119,0.0008119,0.0008119
21,118.875,0.74946,0.5297,1,1.37302,0.000802,0.000802,0.000802
22,122.647,0.70244,0.54455,1,1.35252,0.0007921,0.0007921,0.0007921
23,126.721,0.70864,0.4703,1,1.55879,0.0007822,0.0007822,0.0007822
24,130.676,0.66042,0.4901,1,1.57259,0.0007723,0.0007723,0.0007723
