epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.4377,1.20255,0.56436,1,1.04555,0.000192,0.000192,0.080992
2,24.277,1.09919,0.55446,1,1.10621,0.000388119,0.000388119,0.0611881
3,30.5981,1.05661,0.5396,1,1.09928,0.000580278,0.000580278,0.0413803
4,36.4675,1.0282,0.56931,1,1.12695,0.000768478,0.000768478,0.0215685
5,42.2822,0.99217,0.49505,1,1.14145,0.000952717,0.000952717,0.00175272
6,48.2744,1.02601,0.55446,1,1.09645,0.0009505,0.0009505,0.0009505
7,53.4928,0.98017,0.5,1,1.04229,0.0009406,0.0009406,0.0009406
8,60.3413,0.93421,0.55941,1,0.96844,0.0009307,0.0009307,0.0009307
9,67.1956,0.91166,0.5099,1,1.1692,0.0009208,0.0009208,0.0009208
10,73.1731,0.92246,0.51485,1,1.16117,0.0009109,0.0009109,0.0009109
11,77.4096,0.88378,0.4901,1,1.10117,0.000901,0.000901,0.000901
12,81.5172,0.89367,0.52475,1,1.18961,0.0008911,0.0008911,0.0008911
13,86.0854,0.88042,0.53465,1,1.17929,0.0008812,0.0008812,0.0008812
14,90.3293,0.82876,0.5198,1,1.28418,0.0008713,0.0008713,0.0008713
15,94.4978,0.8436,0.49505,1,1.37204,0.0008614,0.0008614,0.0008614
16,100.784,0.81126,0.51485,1,1.23708,0.0008515,0.0008515,0.0008515
17,108.291,0.76811,0.4901,1,1.25147,0.0008416,0.0008416,0.0008416
18,115.767,0.79096,0.5198,1,1.25852,0.0008317,0.0008317,0.0008317
19,122.317,0.72855,0.5198,1,1.24835,0.0008218,0.0008218,0.0008218
20,128.914,0.73191,0.47525,1,1.28843,0.0008119,0.0008119,0.0008119
21,138.349,0.74343,0.50495,1,1.37759,0.000802,0.000802,0.000802
22,149.441,0.70291,0.51485,1,1.36254,0.0007921,0.0007921,0.0007921
23,156.643,0.69247,0.45545,1,1.65847,0.0007822,0.0007822,0.0007822
24,161.261,0.64779,0.55446,1,1.58826,0.0007723,0.0007723,0.0007723
25,165.533,0.62366,0.5099,1,1.42716,0.0007624,0.0007624,0.0007624
26,169.914,0.62281,0.4901,1,1.62441,0.0007525,0.0007525,0.0007525
27,174.138,0.6387,0.48515,1,1.50396,0.0007426,0.0007426,0.0007426
28,178.345,0.65614,0.5198,1,1.75985,0.0007327,0.0007327,0.0007327
29,182.774,0.5776,0.5,1,1.50151,0.0007228,0.0007228,0.0007228
30,186.773,0.57083,0.50495,1,1.57689,0.0007129,0.0007129,0.0007129
31,191.305,0.58724,0.5198,1,1.52758,0.000703,0.000703,0.000703
32,195.515,0.5941,0.47525,1,1.71395,0.0006931,0.0006931,0.0006931
33,199.868,0.53101,0.5297,1,1.40998,0.0006832,0.0006832,0.0006832
34,204.082,0.48737,0.5198,1,1.7106,0.0006733,0.0006733,0.0006733
35,208.16,0.52881,0.4802,1,1.79504,0.0006634,0.0006634,0.0006634
36,212.395,0.50366,0.5396,1,1.73225,0.0006535,0.0006535,0.0006535
37,216.551,0.49514,0.52475,1,1.60503,0.0006436,0.0006436,0.0006436
38,220.841,0.48994,0.5099,1,1.44736,0.0006337,0.0006337,0.0006337
39,225.001,0.47778,0.5198,1,1.41659,0.0006238,0.0006238,0.0006238
40,229.223,0.46483,0.5198,1,1.25789,0.0006139,0.0006139,0.0006139
41,233.704,0.47186,0.5,1,1.47026,0.000604,0.000604,0.000604
42,240.633,0.45242,0.49505,1,1.50653,0.0005941,0.0005941,0.0005941
43,244.614,0.43493,0.5198,1,1.7213,0.0005842,0.0005842,0.0005842
44,248.408,0.43272,0.51485,1,1.37872,0.0005743,0.0005743,0.0005743
45,252.079,0.37588,0.51485,1,1.89106,0.0005644,0.0005644,0.0005644
46,255.577,0.42938,0.4901,1,1.80262,0.0005545,0.0005545,0.0005545
47,258.894,0.39909,0.49505,1,1.61372,0.0005446,0.0005446,0.0005446
48,262.468,0.38685,0.4604,1,1.669,0.0005347,0.0005347,0.0005347
49,267.085,0.42186,0.51485,1,1.71664,0.0005248,0.0005248,0.0005248
50,272.701,0.36572,0.52475,1,1.7785,0.0005149,0.0005149,0.0005149
51,278.854,0.38223,0.51485,1,1.68194,0.000505,0.000505,0.000505
52,284.415,0.35549,0.5495,1,1.74385,0.0004951,0.0004951,0.0004951
53,290.825,0.40082,0.5297,1,1.75215,0.0004852,0.0004852,0.0004852
54,296.809,0.33808,0.5,1,1.82399,0.0004753,0.0004753,0.0004753
55,302.865,0.32458,0.5099,1,1.97189,0.0004654,0.0004654,0.0004654
56,310.26,0.34883,0.49505,1,1.99327,0.0004555,0.0004555,0.0004555
57,316.442,0.33105,0.50495,1,2.06359,0.0004456,0.0004456,0.0004456
58,323.086,0.34165,0.55446,1,1.69063,0.0004357,0.0004357,0.0004357
59,329.563,0.33003,0.50495,1,1.60766,0.0004258,0.0004258,0.0004258
60,337.539,0.31455,0.5297,1,1.9295,0.0004159,0.0004159,0.0004159
61,343.329,0.28434,0.5,1,2.35986,0.000406,0.000406,0.000406
62,349.999,0.3409,0.4802,1,2.25372,0.0003961,0.0003961,0.0003961
63,356.639,0.3009,0.55446,1,2.31535,0.0003862,0.0003862,0.0003862
64,364.044,0.32089,0.52475,1,2.07901,0.0003763,0.0003763,0.0003763
65,370.249,0.32318,0.5396,1,1.85915,0.0003664,0.0003664,0.0003664
66,375.381,0.30511,0.5198,1,2.25128,0.0003565,0.0003565,0.0003565
67,379.456,0.25783,0.5099,1,1.89292,0.0003466,0.0003466,0.0003466
68,383.606,0.28056,0.51485,1,2.12877,0.0003367,0.0003367,0.0003367
69,390.07,0.26767,0.5198,1,2.04826,0.0003268,0.0003268,0.0003268
70,396.769,0.24877,0.5,1,2.31214,0.0003169,0.0003169,0.0003169
71,404.633,0.2459,0.50495,1,1.98497,0.000307,0.000307,0.000307
72,411.586,0.21846,0.53465,1,2.26796,0.0002971,0.0002971,0.0002971
73,418.659,0.2592,0.4901,1,2.19372,0.0002872,0.0002872,0.0002872
74,425.788,0.24095,0.49505,1,2.88179,0.0002773,0.0002773,0.0002773
