epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.92441,1.50734,0.16432,1,1.65498,4.95455e-05,4.95455e-05,0.0901405
2,18.154,1.34951,0.29108,1,1.54641,9.95394e-05,9.95394e-05,0.0801904
3,25.9044,1.23926,0.38967,1,1.31076,0.000149509,0.000149509,0.0702404
4,33.7036,1.16393,0.37089,1,1.4248,0.000199436,0.000199436,0.0602903
5,41.434,1.07402,0.46948,1,1.44644,0.000249302,0.000249302,0.0503402
6,49.1087,1.01949,0.39906,1,1.33842,0.000299088,0.000299088,0.04039
7,56.768,0.95891,0.38498,1,1.54048,0.000348778,0.000348778,0.0304397
8,64.4802,0.91142,0.37089,1,1.52372,0.000398351,0.000398351,0.0204893
9,72.1692,0.84442,0.44601,1,1.36946,0.000447791,0.000447791,0.0105387
10,79.8968,0.85657,0.37559,1,1.47477,0.000497079,0.000497079,0.000587988
11,87.4582,0.81828,0.3615,1,1.61495,0.000496953,0.000496953,0.000496953
12,95.1547,0.78681,0.40376,1,1.40531,0.000496315,0.000496315,0.000496315
13,102.732,0.75038,0.37089,1,1.46096,0.000495616,0.000495616,0.000495616
14,110.436,0.75876,0.41315,1,1.58976,0.000494858,0.000494858,0.000494858
15,118.008,0.6939,0.42723,1,1.40782,0.000494039,0.000494039,0.000494039
16,125.719,0.68068,0.39906,1,1.64373,0.000493162,0.000493162,0.000493162
17,133.349,0.64578,0.42723,1,1.77434,0.000492224,0.000492224,0.000492224
18,141.051,0.64525,0.43192,1,1.65414,0.000491228,0.000491228,0.000491228
19,148.635,0.67685,0.40376,1,1.83574,0.000490173,0.000490173,0.000490173
20,156.354,0.62302,0.41784,1,1.5455,0.000489059,0.000489059,0.000489059
21,163.965,0.60112,0.40376,1,1.66609,0.000487886,0.000487886,0.000487886
22,171.633,0.58624,0.44601,1,1.65473,0.000486656,0.000486656,0.000486656
23,179.31,0.56038,0.43662,1,1.74578,0.000485368,0.000485368,0.000485368
24,187.052,0.59291,0.48357,1,1.55681,0.000484022,0.000484022,0.000484022
25,194.826,0.56691,0.48357,1,1.48096,0.00048262,0.00048262,0.00048262
26,202.557,0.55963,0.48357,1,1.59208,0.00048116,0.00048116,0.00048116
27,210.203,0.50797,0.47418,1,1.74049,0.000479644,0.000479644,0.000479644
28,217.883,0.47867,0.40845,1,1.87202,0.000478072,0.000478072,0.000478072
29,225.535,0.46418,0.46948,1,1.74298,0.000476445,0.000476445,0.000476445
30,233.226,0.48134,0.46009,1,1.84952,0.000474762,0.000474762,0.000474762
31,240.865,0.46363,0.42254,1,1.8496,0.000473024,0.000473024,0.000473024
32,248.598,0.46,0.44601,1,1.97546,0.000471232,0.000471232,0.000471232
33,256.311,0.45068,0.47418,1,1.91126,0.000469386,0.000469386,0.000469386
34,263.97,0.45867,0.4554,1,1.86872,0.000467486,0.000467486,0.000467486
35,271.673,0.41142,0.48357,1,2.06227,0.000465534,0.000465534,0.000465534
36,279.406,0.41271,0.4554,1,2.16288,0.000463528,0.000463528,0.000463528
37,287.188,0.41391,0.49296,1,2.0282,0.000461471,0.000461471,0.000461471
38,294.961,0.41298,0.44131,1,1.99837,0.000459362,0.000459362,0.000459362
39,302.71,0.39493,0.46948,1,2.144,0.000457202,0.000457202,0.000457202
40,310.422,0.37616,0.42254,1,2.1479,0.000454992,0.000454992,0.000454992
41,318.078,0.39141,0.47418,1,2.30097,0.000452732,0.000452732,0.000452732
42,325.873,0.40576,0.46009,1,2.24794,0.000450422,0.000450422,0.000450422
43,333.626,0.36665,0.47418,1,2.15112,0.000448063,0.000448063,0.000448063
44,341.363,0.3696,0.46479,1,2.14823,0.000445657,0.000445657,0.000445657
