epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,6.68822,2.85463,3.5283,2.08432,0.02694,0.19715,0.01632,0.00505,2.56074,3.5302,1.97256,0.00012,4e-05,0.00012,4e-05,0.00012,4e-05,0.00012,4e-05
2,9.51227,2.83434,3.52354,2.10065,0.02222,0.1626,0.01345,0.00421,2.5245,3.55665,1.99576,0.00029703,9.901e-05,0.00029703,9.901e-05,0.00029703,9.901e-05,0.00029703,9.901e-05
3,12.8928,2.80679,3.50714,2.06563,0.02056,0.15041,0.01213,0.0037,2.49863,3.57159,2.00122,0.000470496,0.000156832,0.000470496,0.000156832,0.000470496,0.000156832,0.000470496,0.000156832
4,17.301,2.79903,3.51896,1.98785,0.01972,0.14431,0.01155,0.00342,2.48184,3.58199,2.00219,0.000640398,0.000213466,0.000640398,0.000213466,0.000640398,0.000213466,0.000640398,0.000213466
5,21.8481,2.78994,3.49881,1.98444,0.01778,0.13008,0.01028,0.00327,2.44699,3.59568,2.00444,0.000806736,0.000268912,0.000806736,0.000268912,0.000806736,0.000268912,0.000806736,0.000268912
6,24.6319,2.56634,3.45958,1.96591,0.01528,0.11179,0.00884,0.00294,2.42638,3.60093,2.00079,0.00096951,0.00032317,0.00096951,0.00032317,0.00096951,0.00032317,0.00096951,0.00032317
7,28.3603,2.61678,3.46732,1.90921,0.01611,0.11789,0.00915,0.00291,2.41507,3.60573,2.00187,0.00112872,0.00037624,0.00112872,0.00037624,0.00112872,0.00037624,0.00112872,0.00037624
8,32.4779,2.63699,3.45667,1.84888,0.01556,0.11382,0.00891,0.0029,2.4022,3.60679,1.9963,0.00128437,0.000428122,0.00128437,0.000428122,0.00128437,0.000428122,0.00128437,0.000428122
9,35.5398,2.57378,3.44821,1.83821,0.01389,0.10163,0.00803,0.00291,2.38543,3.6089,1.99029,0.00143645,0.000478816,0.00143645,0.000478816,0.00143645,0.000478816,0.00143645,0.000478816
10,39.1723,2.50184,3.39982,1.80132,0.01361,0.09959,0.00779,0.00262,2.37893,3.6101,1.98554,0.00158497,0.000528322,0.00158497,0.000528322,0.00158497,0.000528322,0.00158497,0.000528322
